"","Item_ID","Sentence","Adj","Noun"
"1","24050:30","” “ more than five states have banned transgender biological males from computing in girls ’ sports.","biological","males"
"2","55475:38","whether or not jordan lewis intended to highlight the absurdity of biological males competing in women ’s sports, his prank comes at a time when biological males are stacking up victories against their female counterparts.","biological","males"
"3","43299:30","a recent study in sweden has shown that biological males who claim to be transgender women still retained considerable advantages over biological females in strength and muscle mass, even after a full year of hormone therapy.","biological","males"
"4","65882:171","the survey also asked for california voters ’ responses to two recent pieces of legislation: ab 2218, which would establish a taxpayer -- subsidized “ equity ” fund that could be used for transgender medical interventions and surgeries, many of which are known to cause sterility; and sb 132, which would allow biological male prisoners to demand placement in women ’s prisons.","biological","male"
"5","11595:38","“ when i did n’t have to run against biological males, i felt i had a chance, ” the 17 -- year -- old girl said.","biological","males"
"6","39035:33","ufc color commentator joe rogan has spoken out against allowing biological males to compete against women.","biological","males"
"7","16909:71","if representative ilhan omar --lrb- d-mn --rrb- has her way, usa powerlifting will soon find themselves under investigation for discrimination for preventing biological males from competing in women ’s events.","biological","males"
"8","41054:13","thomas, a biological male, has been shattering women ’s records in college swimming this season and raising the hackles of many of his teammates in the process.","biological","male"
"9","67368:70","a girls ’ high school volleyball team in vermont has been banned from their own locker room after some girls raised concerns about a biological male claiming to be a transgender girl using the facility.","biological","male"
"10","25318:44","it also will pose new problems for the ncaa, who currently requires biological males to undergo a full year of hormone therapy prior to competing in women ’s sports.","biological","males"
"11","45328:40","in 2015, the girl scouts caved to the pressure to accept biological males who “ identify ” as females or transgender girls, and announced it would admit to its organization individuals regardless of their biological sex.","biological","males"
"12","39469:35","according to the press release, this makes levine, a biological male, the “ highest ranking official in the usphs commissioned corps and its first -- ever female four -- star admiral.","biological","male"
"13","24672:79","“ you can unlearn your own prejudices against sex with transsexuals — it just takes time and effort, ” said riley dennis, a biological male who is living as a woman while preferring to sleep with women.","biological","male"
"14","44272:21","transgender penn swimmer lia thomas, a biological male, has been crushing women ’s records and will likely take home the title at the ncaa championships in march.","biological","male"
"15","19068:65","however, as breitbart news reported, a recent study conducted by the karolinska institute and linkoping university in sweden found biological males — who claim to be transgender women — who were administered a full year of hormone therapy, still maintained muscle mass and strength advantages over biological women.","biological","males"
"16","55485:142","” calling it an example of “ federal overreach, ” miyares, directing his comment to the biden administration, said, “ do n’t use nutrition assistance programs, for reduced lunches for needy kids, as a vehicle for you to say you have to allow biological males on our sports team and in our women ’s sports teams and in our girls bathrooms.","biological","males"
"17","8100:48","diaz noted that acquiescence to the usda ’s directive “ would end up allowing biological males who identify as females to access female bathrooms and locker rooms, assign biological males who identify as female to female rooms on school trips.","biological","males"
"18","34924:82","it would erase women ’s and girls ’ rights by requiring facilities, such as schools, churches, dormitories, domestic violence shelters, homeless shelters, to allow biological males who identify as women, in women ’s bathrooms, women ’s and girls ’ shelters, women ’s and girls ’ showers, and in women ’s locker rooms.","biological","males"
"19","44041:16","brían nguyen, a biological male who identifies as female has won miss greater derry 2023 in new hampshire, making nguyen the first transgender titleholder within the miss america organization.","biological","male"
"20","44048:23","last summer, kataluna enriquez, a biological male who identifies as a woman, won the title of miss nevada usa.","biological","male"
"21","61734:165","liveline — a flagship radio show for the state -- owned network hosted by presenter joe duffy — facilitated discussions on the redefining of the word “ woman ” away from “ adult human female ”, as well as an alleged case of a lesbian girl being labelled “ transphobic ” over refusing to go out with a biological male who identified as transgender.","biological","male"
"22","32291:58","“ i think a lot of people, myself in included, have a problem with is a biological male competing.","biological","male"
"23","61722:55","one of her rivals in the leadership race, mp for wigan lisa nandy recently said that biological males should be able to transfer into all -- female prisons if they identify as a woman, including convicted rapists.","biological","males"
"24","28843:97","while having previously skirted around the topic of what makes a woman a woman, boris johnson gave a far more concrete answer on wednesday regarding the question of whether “ biological males ” have a place in women ’s sports.","biological","males"
